,estimator,min_score,mean_score,max_score,std_score,parameters
1127,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 0.5}"
1123,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 0.5}"
1155,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 1}"
80,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
1159,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 1}"
1091,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 0.5}"
1187,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 1}"
320,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': None, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
188,RF,0.250,0.700,1.000,0.245,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True)}"
1063,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 0.5}"
186,RF,0.250,0.700,1.000,0.218,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 3, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
1059,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 0.5}"
1031,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 0.1}"
1027,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 0.1}"
96,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
410,RF,0.500,0.700,0.750,0.100,"{'classification__bootstrap': False, 'classification__max_depth': 9, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 2, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
999,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 0.1}"
778,RF,0.250,0.700,1.000,0.187,"{'classification__bootstrap': False, 'classification__max_depth': None, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 7, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
160,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
154,RF,0.000,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 10, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
554,RF,0.500,0.700,1.000,0.150,"{'classification__bootstrap': False, 'classification__max_depth': 5, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 10, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
144,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 10, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
668,RF,0.250,0.700,1.000,0.292,"{'classification__bootstrap': False, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True)}"
676,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': False, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
732,RF,0.250,0.700,1.000,0.245,"{'classification__bootstrap': False, 'classification__max_depth': None, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True)}"
794,RF,0.500,0.700,1.000,0.150,"{'classification__bootstrap': False, 'classification__max_depth': None, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 10, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
180,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
116,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
963,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 0.1}"
224,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 10, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
967,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 0.1}"
106,RF,0.250,0.700,1.000,0.187,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 3, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
48,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 9, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 7, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
995,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 0.1}"
1191,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 1}"
1095,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 0.5}"
1287,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 5}"
13,RF,0.250,0.700,1.000,0.218,"{'classification__bootstrap': True, 'classification__max_depth': 9, 'reduce_dim__n_components': 20, 'classification__min_samples_split': 2, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True)}"
212,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 7, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
1315,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 5}"
1251,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 5}"
4,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 9, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
282,RF,0.000,0.700,1.000,0.312,"{'classification__bootstrap': True, 'classification__max_depth': 2, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
1255,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 5}"
244,RF,0.250,0.700,1.000,0.218,"{'classification__bootstrap': True, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
1283,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.5, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 5}"
288,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 7, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
240,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
1219,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'linear', 'classification__C': 1}"
1223,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 1}"
1319,SVM,0.250,0.700,1.000,0.245,"{'reduce_dim__n_components': 36, 'classification__gamma': 0.1, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0), 'classification__kernel': 'linear', 'classification__C': 5}"
276,RF,0.250,0.700,1.000,0.269,"{'classification__bootstrap': True, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 5, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
1289,SVM,0.250,0.675,1.000,0.251,"{'reduce_dim__n_components': 20, 'classification__gamma': 0.5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'classification__kernel': 'linear', 'classification__C': 5}"
1293,SVM,0.000,0.675,1.000,0.317,"{'reduce_dim__n_components': 20, 'classification__gamma': 0.5, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True), 'classification__kernel': 'linear', 'classification__C': 5}"
1290,SVM,0.250,0.675,1.000,0.251,"{'reduce_dim__n_components': 30, 'classification__gamma': 0.5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'classification__kernel': 'linear', 'classification__C': 5}"
970,SVM,0.250,0.675,1.000,0.251,"{'reduce_dim__n_components': 30, 'classification__gamma': 1, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'classification__kernel': 'linear', 'classification__C': 0.1}"
1262,SVM,0.250,0.675,1.000,0.195,"{'reduce_dim__n_components': 30, 'classification__gamma': 1, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True), 'classification__kernel': 'linear', 'classification__C': 5}"
634,RF,0.250,0.675,1.000,0.195,"{'classification__bootstrap': False, 'classification__max_depth': 3, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 10, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
1002,SVM,0.250,0.675,1.000,0.251,"{'reduce_dim__n_components': 30, 'classification__gamma': 0.5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'classification__kernel': 'linear', 'classification__C': 0.1}"
416,RF,0.250,0.675,1.000,0.251,"{'classification__bootstrap': False, 'classification__max_depth': 9, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
100,RF,0.250,0.675,1.000,0.297,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': KernelPCA(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto',
          fit_inverse_transform=False, gamma=None, kernel='linear',
          kernel_params=None, max_iter=None, n_components=None, n_jobs=None,
          random_state=None, remove_zero_eig=False, tol=0)}"
428,RF,0.250,0.675,1.000,0.251,"{'classification__bootstrap': False, 'classification__max_depth': 9, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True)}"
1328,SVM,0.500,0.675,1.000,0.195,"{'reduce_dim__n_components': 10, 'classification__gamma': 0.1, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False), 'classification__kernel': 'rbf', 'classification__C': 5}"
202,RF,0.000,0.675,0.750,0.225,"{'classification__bootstrap': True, 'classification__max_depth': 3, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 5, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
640,RF,0.250,0.675,1.000,0.251,"{'classification__bootstrap': False, 'classification__max_depth': 2, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 2, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
112,RF,0.250,0.675,1.000,0.297,"{'classification__bootstrap': True, 'classification__max_depth': 5, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 5, 'reduce_dim': PCA(copy=True, iterated_power=7, n_components=None, random_state=None,
    svd_solver='auto', tol=0.0, whiten=False)}"
1294,SVM,0.250,0.675,1.000,0.195,"{'reduce_dim__n_components': 30, 'classification__gamma': 0.5, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True), 'classification__kernel': 'linear', 'classification__C': 5}"
1322,SVM,0.250,0.675,1.000,0.251,"{'reduce_dim__n_components': 30, 'classification__gamma': 0.1, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'classification__kernel': 'linear', 'classification__C': 5}"
1321,SVM,0.250,0.675,1.000,0.251,"{'reduce_dim__n_components': 20, 'classification__gamma': 0.1, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01), 'classification__kernel': 'linear', 'classification__C': 5}"
698,RF,0.250,0.675,1.000,0.225,"{'classification__bootstrap': False, 'classification__max_depth': 2, 'reduce_dim__n_components': 30, 'classification__min_samples_split': 7, 'reduce_dim': FactorAnalysis(copy=True, iterated_power=3, max_iter=1000, n_components=None,
               noise_variance_init=None, random_state=0,
               svd_method='randomized', tol=0.01)}"
748,RF,0.250,0.675,1.000,0.195,"{'classification__bootstrap': False, 'classification__max_depth': None, 'reduce_dim__n_components': 10, 'classification__min_samples_split': 3, 'reduce_dim': FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.01, w_init=None,
        whiten=True)}"
