,estimator,min_score,mean_score,max_score,std_score,parameters
407,SVM,0.000,0.700,1.000,0.350,"{'classification__gamma': 0.1, 'classification__C': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'rbf', 'reduce_dim__k': 36}"
644,RF,0.000,0.700,1.000,0.332,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
640,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
904,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 3, 'classification__bootstrap': False}"
102,AB,0.500,0.700,0.750,0.100,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 250}"
693,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
665,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
416,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 10, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
928,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 7, 'classification__bootstrap': False}"
129,SVM,0.000,0.700,1.000,0.332,"{'classification__gamma': 1, 'classification__C': 0.1, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 20}"
440,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 10, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
114,AB,0.500,0.700,0.750,0.100,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 300}"
933,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 20, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': False}"
668,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 10, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
203,SVM,0.000,0.700,1.000,0.312,"{'classification__gamma': 1, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
151,SVM,0.250,0.700,1.000,0.269,"{'classification__gamma': 0.5, 'classification__C': 0.1, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
434,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
422,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
428,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 10, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
946,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': False}"
525,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 20, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
153,SVM,0.000,0.700,1.000,0.332,"{'classification__gamma': 0.5, 'classification__C': 0.1, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 20}"
506,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
633,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
833,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 2, 'classification__bootstrap': False}"
598,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 30, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
274,SVM,0.250,0.700,1.000,0.292,"{'classification__gamma': 1, 'classification__C': 1, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 30}"
837,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': False}"
281,SVM,0.000,0.700,1.000,0.350,"{'classification__gamma': 1, 'classification__C': 1, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__kernel': 'rbf', 'reduce_dim__k': 20}"
838,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': False}"
549,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
590,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
802,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': False}"
305,SVM,0.000,0.700,1.000,0.384,"{'classification__gamma': 0.5, 'classification__C': 1, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__kernel': 'rbf', 'reduce_dim__k': 20}"
580,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 10, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
578,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
322,SVM,0.250,0.700,1.000,0.292,"{'classification__gamma': 0.1, 'classification__C': 1, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 30}"
323,SVM,0.250,0.700,1.000,0.292,"{'classification__gamma': 0.1, 'classification__C': 1, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
572,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 10, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
849,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': False}"
566,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
561,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
548,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 10, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
545,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
536,RF,0.000,0.700,1.000,0.292,"{'reduce_dim__k': 10, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
608,RF,0.000,0.700,1.000,0.332,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
538,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 30, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
628,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
627,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 36, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 7, 'classification__bootstrap': True}"
701,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
226,SVM,0.250,0.700,1.000,0.292,"{'classification__gamma': 0.5, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 30}"
227,SVM,0.000,0.700,1.000,0.312,"{'classification__gamma': 0.5, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
392,SVM,0.000,0.700,1.000,0.332,"{'classification__gamma': 0.1, 'classification__C': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 10}"
620,RF,0.000,0.700,1.000,0.332,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
826,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': False}"
233,SVM,0.000,0.700,1.000,0.332,"{'classification__gamma': 0.5, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__kernel': 'rbf', 'reduce_dim__k': 20}"
892,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 2, 'classification__bootstrap': False}"
616,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 5, 'classification__bootstrap': True}"
541,RF,0.250,0.700,1.000,0.312,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
542,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 30, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
610,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
251,SVM,0.000,0.700,1.000,0.312,"{'classification__gamma': 0.1, 'classification__C': 0.5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__kernel': 'linear', 'reduce_dim__k': 36}"
885,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 20, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 10, 'classification__bootstrap': False}"
98,AB,0.250,0.700,1.000,0.187,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 250}"
920,RF,0.000,0.700,1.000,0.350,"{'reduce_dim__k': 10, 'classification__max_depth': 2, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': False}"
851,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 36, 'classification__max_depth': 3, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': False}"
86,AB,0.250,0.700,1.000,0.187,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 200}"
993,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 7, 'classification__bootstrap': False}"
459,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 36, 'classification__max_depth': 9, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 10, 'classification__bootstrap': True}"
777,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': False}"
490,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 3, 'classification__bootstrap': True}"
26,AB,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__algorithm': 'SAMME', 'classification__n_estimators': 200}"
74,AB,0.250,0.700,1.000,0.187,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 150}"
982,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 30, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': False}"
62,AB,0.500,0.700,1.000,0.187,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__algorithm': 'SAMME.R', 'classification__n_estimators': 100}"
470,RF,0.250,0.700,1.000,0.292,"{'reduce_dim__k': 30, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10, score_func=<function chi2 at 0x00000212E4A70158>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
981,RF,0.250,0.700,1.000,0.245,"{'reduce_dim__k': 20, 'classification__max_depth': None, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 5, 'classification__bootstrap': False}"
785,RF,0.250,0.700,1.000,0.269,"{'reduce_dim__k': 20, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10, score_func=<function f_classif at 0x00000212E4A70048>), 'classification__min_samples_split': 3, 'classification__bootstrap': False}"
477,RF,0.250,0.700,1.000,0.218,"{'reduce_dim__k': 20, 'classification__max_depth': 5, 'reduce_dim': SelectKBest(k=10,
            score_func=<function mutual_info_classif at 0x00000212E4A7E400>), 'classification__min_samples_split': 2, 'classification__bootstrap': True}"
